T,regime,lu_cnt,adv_ratio,n_lu_picks,n_nlu_picks,note
2026-05-27,defensive,46,0.1751135331516803,2,1,
2026-05-28,normal,97,0.5427792915531335,2,2,
2026-05-29,defensive,51,0.27411444141689373,2,1,
2026-06-01,defensive,120,0.6823550790477921,2,1,
2026-06-02,defensive,66,0.2791712104689204,2,1,
2026-06-03,defensive,66,0.30929894660370505,2,1,
2026-06-04,defensive,78,0.24173628768616054,2,1,
2026-06-05,normal,72,0.5859502632056635,2,2,
2026-06-08,defensive,56,0.16161249319048485,2,1,
2026-06-09,normal,127,0.5985838779956427,2,2,
2026-06-10,defensive,70,0.2784741144414169,2,1,
2026-06-11,defensive,69,0.2454578488372093,2,1,
2026-06-12,normal,91,0.7079019073569482,2,2,
2026-06-15,aggressive,147,0.7056898745682603,2,1,非涨停组不足2只; 
2026-06-16,normal,119,0.4925535779150018,2,2,
2026-06-17,defensive,86,0.31061432206470374,2,1,
2026-06-18,defensive,91,0.3620658301509365,2,1,
2026-06-22,aggressive,138,0.5279898218829516,2,1,非涨停组不足2只; 
2026-06-23,defensive,97,0.5002723806065008,2,1,
2026-06-24,defensive,96,0.25935343261896115,2,1,
2026-06-25,defensive,86,0.22288828337874658,2,1,
2026-06-26,defensive,59,0.14093715946240465,2,1,
2026-06-29,defensive,106,0.44593857895693256,2,1,
2026-06-30,aggressive,142,0.5519622093023255,2,1,非涨停组不足2只; 
2026-07-01,aggressive,153,0.7844561467223534,2,1,非涨停组不足2只; 
2026-07-02,defensive,91,0.4008706693270452,2,1,
2026-07-03,normal,107,0.6877721335268505,2,2,
2026-07-06,defensive,72,0.33865409033194266,2,1,
2026-07-07,defensive,34,0.1251587157627426,0,1,
2026-07-08,defensive,57,0.2863619876677548,2,1,
2026-07-09,normal,74,0.4484134179510426,2,2,
2026-07-10,normal,90,0.6777234003987674,2,2,
2026-07-13,defensive,31,0.14365942028985507,2,1,
2026-07-14,normal,87,0.7609561752988048,2,2,
2026-07-15,defensive,73,0.6049248596777114,2,1,
2026-07-16,defensive,47,0.44983701557406736,2,1,
2026-07-17,defensive,33,0.08603513856185474,2,0,
2026-07-20,defensive,55,0.3146840485243527,2,1,
2026-07-21,normal,121,0.5615496017378712,2,2,
2026-07-22,defensive,47,0.27475113122171946,2,1,
2026-07-23,aggressive,129,0.7690497737556561,2,1,非涨停组不足2只; 
2026-07-24,defensive,43,0.10027149321266968,2,1,
2026-07-27,aggressive,121,0.9396957624049258,2,1,非涨停组不足2只; 
2026-07-28,defensive,68,0.470034401593337,2,1,
2026-07-29,aggressive,86,0.7693282636248415,2,1,非涨停组不足2只; 
2026-07-30,defensive,56,0.3183791606367583,2,1,
2026-07-31,aggressive,103,0.8471418234442837,2,1,非涨停组不足2只; 
2026-08-03,normal,83,0.7236389943931995,2,2,
2026-08-04,aggressive,141,0.6585277627057334,2,1,非涨停组不足2只; 
2026-08-05,aggressive,104,0.6728127259580622,2,1,非涨停组不足2只; 
2026-08-06,normal,83,0.5033435749141515,2,2,
2026-08-07,normal,76,0.5149051490514905,2,2,
2026-08-10,aggressive,103,0.7342000722282412,2,1,非涨停组不足2只; 
2026-08-11,defensive,60,0.29030510922549196,2,1,
2026-08-12,aggressive,96,0.7448998014081964,2,1,非涨停组不足2只; 
2026-08-13,defensive,62,0.20595667870036102,2,1,
2026-08-14,normal,63,0.4326714801444043,2,2,
2026-08-17,aggressive,110,0.7824517060841307,2,1,非涨停组不足2只; 
2026-08-18,defensive,80,0.3824909747292419,2,1,
2026-08-19,defensive,38,0.08067135896047645,2,1,
2026-08-20,aggressive,84,0.7383143836852554,2,1,非涨停组不足2只; 
2026-08-21,normal,58,0.45156052679054665,2,2,
2026-08-24,defensive,48,0.2631199278629396,2,1,
2026-08-25,normal,70,0.7632527948070682,2,2,
2026-08-26,normal,57,0.5305570578691184,2,2,
2026-08-27,aggressive,78,0.6113214350099153,2,1,非涨停组不足2只; 
2026-08-28,aggressive,83,0.5424553812871823,2,1,非涨停组不足2只; 
2026-08-31,aggressive,89,0.5734896302975654,2,1,非涨停组不足2只; 
2026-09-01,aggressive,85,0.6099891813919942,2,1,非涨停组不足2只; 
2026-09-02,defensive,53,0.27762754642148907,1,1,
