T,regime,lu_cnt,adv_ratio,us_ndx,n_lu_picks,n_nlu_picks,note
2026-03-23,defensive,28,0.0548646671543526,1.38,2,1,
2026-03-24,aggressive,84,0.9374313940724479,-0.84,2,0,非涨停组不足2只; 
2026-03-25,aggressive,84,0.8902505944759466,0.77,2,0,非涨停组不足2只; 
2026-03-26,defensive,39,0.1672155140870838,-2.38,2,0,
2026-03-27,defensive,79,0.7918344928597584,-2.15,2,0,
2026-03-30,normal,63,0.5247252747252747,-0.73,2,0,非涨停组不足2只; 
2026-03-31,defensive,53,0.18426349496797803,3.83,2,0,
2026-04-01,normal,57,0.8211411850768106,1.16,2,2,
2026-04-02,defensive,28,0.19129480614484273,0.18,1,0,
2026-04-03,defensive,36,0.13037118303163284,0.18,1,0,
2026-04-07,aggressive,93,0.7264081931236284,0.1,2,0,非涨停组不足2只; 
2026-04-08,normal,122,0.94318597004019,2.8,2,2,
2026-04-09,defensive,54,0.2080365296803653,0.83,2,1,
2026-04-10,normal,60,0.7240372330717284,0.35,2,2,
2026-04-13,normal,62,0.43292571637160066,1.23,2,2,
2026-04-14,normal,55,0.6776723823422108,1.96,2,2,
2026-04-15,defensive,57,0.33485401459854014,1.59,2,1,
2026-04-16,aggressive,79,0.7808169219547776,0.36,2,0,非涨停组不足2只; 
2026-04-17,normal,70,0.43581327498176514,1.52,2,2,
2026-04-20,aggressive,76,0.6244525547445255,-0.26,2,0,非涨停组不足2只; 
2026-04-21,defensive,53,0.3535095715587967,-0.59,2,1,
2026-04-22,normal,56,0.5317286652078774,1.64,1,2,涨停组不足2只(候选不足或得分低于阈值); 
2026-04-23,defensive,50,0.2421091041780697,-0.89,2,1,
2026-04-24,defensive,59,0.37041765456866677,1.63,2,1,
2026-04-27,defensive,66,0.5983217803721269,0.2,2,1,
2026-04-28,defensive,58,0.30984115391637757,-0.9,2,1,
2026-04-29,normal,100,0.7278063096111519,0.04,2,2,
2026-04-30,normal,79,0.5245511176255039,0.89,2,2,
2026-05-06,aggressive,101,0.7080145719489982,2.02,2,0,非涨停组不足2只; 
2026-05-07,aggressive,100,0.6406335335882032,-0.13,2,0,非涨停组不足2只; 
2026-05-08,aggressive,98,0.6614460025496267,1.71,2,0,非涨停组不足2只; 
2026-05-11,aggressive,93,0.5667455836823894,0.1,2,0,非涨停组不足2只; 
2026-05-12,defensive,57,0.25100182149362477,-0.71,2,1,
2026-05-13,aggressive,110,0.5840160203895868,1.2,2,0,非涨停组不足2只; 
2026-05-14,defensive,55,0.1902421263426179,0.88,2,1,
2026-05-15,defensive,54,0.32793448589626933,-1.54,2,1,
2026-05-18,normal,82,0.43080560101836696,-0.51,2,2,
2026-05-19,aggressive,90,0.654469324594939,-0.84,2,0,非涨停组不足2只; 
2026-05-20,defensive,62,0.2968892122976169,1.54,2,1,
2026-05-21,defensive,35,0.12545454545454546,0.09,2,1,
2026-05-22,normal,115,0.6996183899691077,0.19,2,2,
2026-05-25,defensive,103,0.39469380337997456,0.19,2,1,
2026-05-26,defensive,49,0.24350354352171544,1.19,2,1,
2026-05-27,defensive,46,0.1751135331516803,0.07,2,1,
2026-05-28,normal,97,0.5427792915531335,0.91,2,2,
2026-05-29,defensive,51,0.27411444141689373,0.2,2,1,
2026-06-01,defensive,120,0.6823550790477921,0.42,2,0,
2026-06-02,defensive,66,0.2791712104689204,0.03,2,0,
2026-06-03,defensive,66,0.30929894660370505,-0.89,2,1,
2026-06-04,defensive,78,0.24173628768616054,-0.09,2,0,
2026-06-05,defensive,72,0.5859502632056635,-4.18,2,1,
2026-06-08,defensive,56,0.16161249319048485,0.86,2,1,
2026-06-09,normal,127,0.5985838779956427,-0.97,2,0,非涨停组不足2只; 
2026-06-10,defensive,70,0.2784741144414169,-1.98,2,0,
2026-06-11,defensive,69,0.2454578488372093,2.54,2,0,
2026-06-12,normal,91,0.7079019073569482,0.31,2,1,非涨停组不足2只; 
2026-06-15,aggressive,147,0.7056898745682603,3.07,2,0,非涨停组不足2只; 
2026-06-16,normal,119,0.4925535779150018,-1.15,2,2,
2026-06-17,defensive,86,0.31061432206470374,-1.34,2,1,
2026-06-18,defensive,91,0.3620658301509365,1.91,2,1,
2026-06-22,aggressive,138,0.5279898218829516,-1.32,2,0,非涨停组不足2只; 
2026-06-23,defensive,97,0.5002723806065008,-2.21,2,1,
2026-06-24,defensive,96,0.25935343261896115,-0.43,2,1,
2026-06-25,defensive,86,0.22288828337874658,-0.46,2,1,
2026-06-26,defensive,59,0.14093715946240465,-0.24,2,1,
2026-06-29,defensive,106,0.44593857895693256,2.07,2,1,
2026-06-30,aggressive,142,0.5519622093023255,1.52,2,0,非涨停组不足2只; 
2026-07-01,aggressive,153,0.7844561467223534,-0.66,2,0,非涨停组不足2只; 
2026-07-02,defensive,91,0.4008706693270452,-0.8,2,1,
2026-07-03,normal,107,0.6877721335268505,-0.8,2,2,
2026-07-06,defensive,72,0.33865409033194266,1.12,2,0,
2026-07-07,defensive,34,0.1251587157627426,-1.16,0,0,
2026-07-08,defensive,57,0.2863619876677548,0.2,2,0,
2026-07-09,normal,74,0.4484134179510426,1.3,2,2,
2026-07-10,normal,90,0.6777234003987674,0.29,2,2,
2026-07-13,defensive,31,0.14365942028985507,-1.55,2,0,
2026-07-14,normal,87,0.7609561752988048,0.9,2,0,非涨停组不足2只; 
2026-07-15,defensive,73,0.6049248596777114,0.62,2,0,
2026-07-16,defensive,47,0.44983701557406736,-1.47,2,0,
2026-07-17,defensive,33,0.08603513856185474,-1.4,2,0,
2026-07-20,defensive,55,0.3146840485243527,-0.05,2,0,
2026-07-21,normal,121,0.5615496017378712,1.29,2,1,非涨停组不足2只; 
2026-07-22,defensive,47,0.27475113122171946,-0.57,2,0,
2026-07-23,defensive,129,0.7690497737556561,-2.15,2,0,
2026-07-24,defensive,43,0.10027149321266968,-0.64,2,0,
2026-07-27,aggressive,121,0.9396957624049258,-0.18,2,0,非涨停组不足2只; 
2026-07-28,defensive,68,0.470034401593337,-0.22,2,0,
2026-07-29,aggressive,86,0.7693282636248415,-1.74,2,0,非涨停组不足2只; 
2026-07-30,defensive,56,0.3183791606367583,2.78,2,0,
2026-07-31,aggressive,103,0.8471418234442837,1.0,2,0,非涨停组不足2只; 
2026-08-03,normal,83,0.7236389943931995,2.13,2,0,非涨停组不足2只; 
2026-08-04,aggressive,141,0.6585277627057334,2.59,2,0,非涨停组不足2只; 
2026-08-05,aggressive,104,0.6728127259580622,-0.83,2,0,非涨停组不足2只; 
2026-08-06,normal,83,0.5033435749141515,-0.06,2,2,
2026-08-07,normal,76,0.5149051490514905,1.3,2,2,
2026-08-10,aggressive,103,0.7342000722282412,-0.32,2,0,非涨停组不足2只; 
2026-08-11,defensive,60,0.29030510922549196,-0.6,2,1,
2026-08-12,aggressive,96,0.7448998014081964,0.54,2,0,非涨停组不足2只; 
2026-08-13,defensive,62,0.20595667870036102,0.81,2,1,
2026-08-14,normal,63,0.4326714801444043,-0.28,2,2,
2026-08-17,aggressive,110,0.7824517060841307,-0.32,2,0,非涨停组不足2只; 
2026-08-18,defensive,80,0.3824909747292419,-1.33,2,1,
2026-08-19,defensive,38,0.08067135896047645,0.16,2,1,
2026-08-20,aggressive,84,0.7383143836852554,-1.0,2,0,非涨停组不足2只; 
2026-08-21,normal,58,0.45156052679054665,0.43,2,0,非涨停组不足2只; 
2026-08-24,defensive,48,0.2631199278629396,-0.76,2,0,
2026-08-25,normal,70,0.7632527948070682,0.66,2,0,非涨停组不足2只; 
2026-08-26,normal,57,0.5305570578691184,-0.08,2,0,非涨停组不足2只; 
2026-08-27,aggressive,78,0.6113214350099153,1.57,2,0,非涨停组不足2只; 
2026-08-28,aggressive,83,0.5424553812871823,-0.52,2,0,非涨停组不足2只; 
2026-08-31,aggressive,89,0.5734896302975654,-0.12,2,0,非涨停组不足2只; 
2026-09-01,aggressive,85,0.6099891813919942,-1.03,2,0,非涨停组不足2只; 
2026-09-02,defensive,53,0.27762754642148907,0.45,1,0,
