T,T1,regime,group,thscode,name,industry,concept,con_pct,con_lu_cnt,score,factors,reason,catalyst,tech,watch,watch_range,risk,priority
2026-05-20,2026-05-21,defensive,lu,002272.SZ,川润股份,通用设备,液冷服务器,0.5617629583278827,7.0,92.5,"{'theme': 0.4, 'concept': 1.0, 'ladder': 1.0, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 液冷服务器方向/液冷服务器 3板 封单比8.7% 涨停时间09:25 题材内涨停3家 概念内涨停7家 驱动概念[液冷服务器] 成交15.1亿,液冷服务器+机器人+定增扩产,3连板 换手承接量比1.12,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收24.94,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-05-20,2026-05-21,defensive,lu,603316.SH,诚邦股份,半导体,存储芯片,3.0798562048416134,11.0,87.5,"{'theme': 0.6, 'concept': 1.0, 'ladder': 1.0, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 0.6}",涨停组: 存储芯片方向/存储芯片 3板 封单比11.6% 涨停时间09:31 题材内涨停4家 概念内涨停11家 驱动概念[存储芯片] 成交3.6亿,存储芯片+定增扩产+业绩暴增,3连板 换手承接量比0.66,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收24.77,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-05-20,2026-05-21,defensive,nlu,002957.SZ,科瑞技术,自动化设备,共封装光学(CPO),1.0562031556914375,3.0,90.20703125,"{'sector': 0.8782812500000001, 'trend': 1.0, 'pos': 0.85, 'mom': 0.7, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[自动化设备](当日涨幅分位80%, 板块涨停2家) 驱动概念[共封装光学(CPO)] 距60日高点10.2% 20日涨幅0.7%",板块[自动化设备]轮动延续/资金承接/概念热度,收盘46.11 MA20上方 量比0.71,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收46.11,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-05-21,2026-05-22,defensive,lu,000518.SZ,四环生物,生物制品,肝炎概念,-1.8425411070912334,2.0,83.5,"{'theme': 0.2, 'concept': 0.6, 'ladder': 0.9, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 摘帽方向/肝炎概念 2板 封单比10.0% 涨停时间09:32 题材内涨停2家 概念内涨停2家 驱动概念[肝炎概念] 成交6.7亿,摘帽+生物医药+园林绿化,2连板 换手承接量比2.76,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收3.75,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-05-21,2026-05-22,defensive,lu,002036.SZ,联创电子,光学光电子,华为汽车,-1.0706301715989075,2.0,82.0,"{'theme': 0.4, 'concept': 0.6, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 无人驾驶方向/华为汽车 1板 封单比21.3% 涨停时间09:41 题材内涨停3家 概念内涨停2家 驱动概念[华为汽车] 成交6.5亿,无人驾驶+车载光学+机器视觉,1连板 换手承接量比1.66,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收9.36,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-05-21,2026-05-22,defensive,nlu,000559.SZ,万向钱潮,汽车零部件,人形机器人,-1.5558160520409037,1.0,86.5390625,"{'sector': 0.8915625, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 0.3}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[汽车零部件](当日涨幅分位86%, 板块涨停4家) 驱动概念[人形机器人] 距60日高点12.0% 20日涨幅10.2%",板块[汽车零部件]轮动延续/资金承接/概念热度,收盘18.09 MA20上方 量比1.15,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收18.09,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-05-22,2026-05-25,normal,lu,603228.SH,景旺电子,元件,PCB概念,6.3257563189526245,29.0,78.0,"{'theme': 0.2, 'concept': 1.0, 'ladder': 0.55, 'seal': 0.4, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: AI PCB方向/PCB概念 1板 封单比6.8% 涨停时间09:38 题材内涨停2家 概念内涨停29家 驱动概念[PCB概念] 成交36.6亿,AI PCB+汽车PCB+800G光模块,1连板 换手承接量比1.03,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收82.5,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-05-22,2026-05-25,normal,lu,605006.SH,山东玻纤,建筑材料,风电,1.8824476428984216,9.0,78.0,"{'theme': 0.2, 'concept': 1.0, 'ladder': 0.55, 'seal': 0.4, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 电子布方向/风电 1板 封单比5.3% 涨停时间09:44 题材内涨停2家 概念内涨停9家 驱动概念[风电] 成交11.2亿,电子布+玻纤+风电纱+山东国资,1连板 换手承接量比1.26,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收15.74,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-05-22,2026-05-25,normal,nlu,600580.SH,卧龙电驱,电机,小米概念,2.6865724311484485,14.0,94.15234375,"{'sector': 0.9160937499999999, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[电机](当日涨幅分位88%, 板块涨停3家) 驱动概念[小米概念] 距60日高点12.2% 20日涨幅7.7%",板块[电机]轮动延续/资金承接/概念热度,收盘41.09 MA20上方 量比0.91,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收41.09,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-05-22,2026-05-25,normal,nlu,002654.SZ,万润科技,光学光电子,MiniLED,4.053470411334592,9.0,93.2265625,"{'sector': 0.8790625000000001, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[光学光电子](当日涨幅分位80%, 板块涨停4家) 驱动概念[MiniLED] 距60日高点11.7% 20日涨幅14.4%",板块[光学光电子]轮动延续/资金承接/概念热度,收盘17.73 MA20上方 量比0.79,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收17.73,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
