T,T1,regime,group,thscode,name,industry,concept,con_pct,con_lu_cnt,score,factors,reason,catalyst,tech,watch,watch_range,risk,priority
2026-03-02,2026-03-03,defensive,lu,603353.SH,和顺石油,石油加工贸易,俄乌冲突概念,5.229179892051916,22.0,85.0,"{'theme': 0.2, 'concept': 1.0, 'ladder': 0.9, 'seal': 0.4, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 成品油方向/俄乌冲突概念 2板 封单比3.5% 涨停时间09:30 题材内涨停2家 概念内涨停22家 驱动概念[俄乌冲突概念] 成交9.4亿,成品油+铜官油库+拟收购奎芯+超快充,2连板 换手承接量比2.06,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收46.34,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-02,2026-03-03,defensive,nlu,603077.SH,和邦生物,农化制品,金属锌,3.2297022736952785,4.0,86.05859375,"{'sector': 0.84234375, 'trend': 1.0, 'pos': 0.6, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[农化制品](当日涨幅分位77%, 板块涨停3家) 驱动概念[金属锌] 距60日高点5.2% 20日涨幅9.3%",板块[农化制品]轮动延续/资金承接/概念热度,收盘2.94 MA20上方 量比1.02,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收2.94,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-03,2026-03-04,defensive,lu,002828.SZ,贝肯能源,油气开采及服务,页岩气,5.981593422178322,16.0,96.0,"{'theme': 0.6, 'concept': 1.0, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 油气开采方向/页岩气 2板 封单比15.1% 涨停时间09:30 题材内涨停4家 概念内涨停16家 驱动概念[页岩气] 成交4.0亿,油气开采+海外权益,2连板 换手承接量比0.85,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收16.37,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-03,2026-03-04,defensive,lu,000968.SZ,蓝焰控股,油气开采及服务,天然气,4.293827927864879,49.0,93.5,"{'theme': 1.0, 'concept': 1.0, 'ladder': 0.9, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 天然气方向/天然气 2板 封单比8.7% 涨停时间09:30 题材内涨停18家 概念内涨停49家 驱动概念[天然气] 成交9.2亿,天然气+煤层气+山西国资,2连板 换手承接量比1.47,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收10.41,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-03,2026-03-04,defensive,nlu,601619.SH,嘉泽新能,电力,碳交易,-1.790080939005123,7.0,81.734375,"{'sector': 0.669375, 'trend': 1.0, 'pos': 0.6, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[电力](当日涨幅分位81%, 板块涨停0家) 驱动概念[碳交易] 距60日高点5.8% 20日涨幅18.4%",板块[电力]轮动延续/资金承接/概念热度,收盘6.65 MA20上方 量比0.91,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收6.65,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-04,2026-03-05,defensive,lu,002339.SZ,积成电子,电网设备,特高压,2.3615358737537395,8.0,82.0,"{'theme': 0.4, 'concept': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 0.6}",涨停组: 电网设备方向/特高压 1板 封单比29.8% 涨停时间09:36 题材内涨停3家 概念内涨停8家 驱动概念[特高压] 成交3.5亿,电网设备+中标+特高压,1连板 换手承接量比0.77,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收11.54,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-04,2026-03-05,defensive,lu,603530.SH,神马电力,电网设备,柔性直流输电,2.967483083039224,3.0,77.5,"{'theme': 0.4, 'concept': 0.8, 'ladder': 0.55, 'seal': 0.7, 'time': 0.85, 'liq': 1.0, 'struct': 1.0}",涨停组: 特高压方向/柔性直流输电 1板 封单比11.2% 涨停时间09:57 题材内涨停3家 概念内涨停3家 驱动概念[柔性直流输电] 成交10.2亿,特高压+越南建厂+电网设备,1连板 换手承接量比1.12,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收67.21,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-04,2026-03-05,defensive,nlu,601877.SH,正泰电器,电网设备,智能电网,2.0411324566005584,13.0,89.08984375,"{'sector': 0.96359375, 'trend': 1.0, 'pos': 0.6, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[电网设备](当日涨幅分位99%, 板块涨停11家) 驱动概念[智能电网] 距60日高点5.2% 20日涨幅5.3%",板块[电网设备]轮动延续/资金承接/概念热度,收盘31.99 MA20上方 量比0.85,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收31.99,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-03-05,2026-03-06,normal,lu,002339.SZ,积成电子,电网设备,特高压,3.0821283426214485,5.0,88.0,"{'theme': 0.8, 'concept': 1.0, 'ladder': 0.9, 'seal': 0.4, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 电网设备方向/特高压 2板 封单比5.3% 涨停时间09:32 题材内涨停5家 概念内涨停5家 驱动概念[特高压] 成交15.0亿,电网设备+中标+特高压,2连板 换手承接量比2.14,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收12.69,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-03-05,2026-03-06,normal,lu,600703.SH,三安光电,光学光电子,MicroLED概念,8.26256839961057,16.0,83.0,"{'theme': 0.6, 'concept': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 0.6}",涨停组: Micro LED方向/MicroLED概念 1板 封单比38.4% 涨停时间09:30 题材内涨停4家 概念内涨停16家 驱动概念[MicroLED概念] 成交12.8亿,Micro LED+光芯片+碳化硅+商业航天,1连板 换手承接量比0.54,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收16.13,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
